ASM,Contrast,IDM,Entropy,Homogeneity,Sum Mean,Maximum Probability,Dissimilarity,Difference mean,Autocorrelation,Class
1.731966544693493704e-01,4.779232916597213054e-01,-1.173287764588248072e-01,-3.289989252076871290e-02,-1.014375544543076879e-01,-2.834774245206897469e-01,2.363913663726063263e-01,4.075331670390627825e-01,4.551939478357407143e-02,-3.418157248913962776e-01,1
-7.947543558549293730e-01,1.429750883824302266e+00,-1.122140398621619406e+00,8.261548694049740682e-01,-1.093407441259563573e+00,7.533170658097334549e-01,-7.137713777754847166e-01,1.333474234840949402e+00,5.249703544954859025e-01,7.360072667329868867e-01,1
-7.753467371905997663e-02,2.888950011910582649e-01,-8.981179943536152233e-02,-1.134329679099764163e-03,-1.036067211522173487e-01,-1.173550520245790485e-01,2.140717536408101845e-03,2.916118877550756272e-01,-3.485923973415570587e-01,-2.286159690142364198e-01,1
9.355562644478368495e-02,3.371698702664679415e-01,-1.376594699875199335e-01,-4.332688399752727265e-02,-1.407402083685449501e-01,-2.618350843770819170e-01,1.626945330367947085e-01,3.371864181021335116e-01,4.396777355463250825e-02,-3.593049595245298988e-01,1
1.675657350671349577e-01,3.297728387620136314e-01,4.836283496641009122e-02,-2.433715169474259254e-01,2.798282014863233760e-02,-3.655325901912768738e-01,2.284952770872331340e-01,3.184484578928236109e-01,-4.401380498441040956e-01,-4.921693447675972166e-01,1
-1.777690962738611227e-02,3.931518073228100763e-01,-2.421022638168619789e-01,4.787476575103442183e-02,-2.354756367809677509e-01,-1.667016511844321425e-01,6.004537230996144503e-02,3.975290018411780091e-01,-5.611645056935380405e-01,-2.721815742388594694e-01,1
-5.285404532219283302e-01,5.088048021289016676e-01,-8.715132061353979553e-01,6.609900362591090150e-01,-8.291065877295494824e-01,3.871771659377478692e-01,-4.295121634595953641e-01,5.690289766701078777e-01,4.598022628839443793e-01,3.345862934782968812e-01,1
-7.839494907481801000e-01,8.227308109612867515e-01,-1.141760708519958589e+00,9.614998670392437274e-01,-1.100570613814097376e+00,6.398173082092755148e-01,-6.900831099108760691e-01,8.615317115186202912e-01,-7.970109324766396774e-01,5.632159760883397315e-01,1
-1.688419328335905911e+00,1.919107422394327633e+00,-2.097196275017576550e+00,1.857291961734952590e+00,-2.074381233107950528e+00,1.571547136559920732e+00,-1.721838776688640937e+00,1.894025078494717906e+00,1.009076177889218551e+00,1.347142552383163272e+00,1
-1.562941329414482050e+00,9.523573682654239425e-01,-1.902362631059449916e+00,1.766805191474124959e+00,-1.850878305634345633e+00,1.531461085798335064e+00,-1.566549020723153607e+00,1.070507606771290421e+00,-4.184153526399232437e-01,1.447957034827453082e+00,1
7.055752505241891237e-02,-2.681293436356017162e-02,3.029829751693191922e-02,-4.804860389662683751e-02,3.129580542266840321e-02,-1.917747794542302986e-01,1.416382949396343405e-01,-1.311816011250450595e-02,-3.904861705209771161e-01,-2.409357067238458439e-01,1
3.523706994801069636e-01,2.507949650421150145e-01,1.914832177652281697e-01,-3.615325824677036448e-01,1.779545002921843477e-01,-5.055758138367932863e-01,3.943131521055427968e-01,2.245998605524817393e-01,-1.468816375927673445e-01,-6.035976798423934309e-01,1
-1.724772186281128938e+00,3.154453962604604755e-01,-1.541318641873949069e+00,1.855437925377572794e+00,-1.489249607746224280e+00,1.858830500306915212e+00,-1.769215312409370133e+00,4.256359421602645132e-01,-4.789285805646402716e-01,1.893167608528558477e+00,1
-1.269498774085951576e+00,2.152910927941190933e-01,-1.328044028022886458e+00,1.431190097684884810e+00,-1.264214366614627494e+00,1.293988638407320924e+00,-1.219121092115787786e+00,3.330577150063822600e-01,1.356639333154110005e+00,1.336032780180987478e+00,1
-1.078698620054455937e+00,1.478930808828859744e+00,-1.545060571027916607e+00,1.246124904758250995e+00,-1.515616410306604322e+00,8.607291091530210325e-01,-1.005926681376748233e+00,1.486236249460568759e+00,-4.602625771807224847e-02,6.719935379032213607e-01,1
-7.672606802243695512e-01,9.183128595584888476e-01,-1.080557351214338935e+00,8.461658948081587361e-01,-1.053852186076180697e+00,5.509521570886506403e-01,-6.742909313401287408e-01,9.620497523173898724e-01,5.482912215622251506e-02,4.078053459744030440e-01,1
-1.413284077501778535e+00,1.366168355968827797e+00,-1.523587092929008291e+00,1.336056302178881383e+00,-1.553535695354202328e+00,1.209457114390660282e+00,-1.398099115945882875e+00,1.434627460738070459e+00,-5.378436386227956889e-02,9.963503702216086610e-01,1
1.091712707625050349e+00,-5.188063486954888059e-01,8.830235177813262615e-01,-1.095619461220049384e+00,8.790604246338444838e-01,-1.056797704813018823e+00,1.020736235502387679e+00,-5.295236398738607519e-01,-2.756661995863085579e-01,-1.055373563553390293e+00,1
-1.454296234983600278e-01,7.663041751510045740e-01,-5.152838653764306720e-01,2.507725237731319168e-01,-5.013359395544848551e-01,-6.460346013637968676e-02,-5.839596698761819610e-02,7.383058036778538114e-01,-7.908044475618745128e-01,-2.034688362827157260e-01,1
1.071698568176039146e+00,-7.183633520910960302e-01,9.404942063163002075e-01,-1.036969969112340406e+00,9.416390327708076269e-01,-9.960237436945975631e-01,1.004944056931639462e+00,-7.359587947638540628e-01,-5.859904453546012082e-01,-9.568273996266091208e-01,1
-6.221906154196523708e-01,1.240434478662875373e+00,-1.053505829209567368e+00,7.489327394922314918e-01,-1.039874015930457807e+00,3.680885703354081495e-01,-5.242652349010535895e-01,1.216917770468854298e+00,-5.921969302703672389e-01,1.792548931183577943e-01,1
-6.519157187262500930e-01,4.625373408440182077e-01,-6.830822679398745878e-01,7.015761894310595936e-01,-6.723367991973380198e-01,4.963948872299284720e-01,-5.558495920425482462e-01,5.112271332988608252e-01,3.139498673724466227e-01,4.273320568799980346e-01,1
-1.299511803545027711e+00,3.436806359392159949e-01,-1.331628821999277568e+00,1.493631255513294676e+00,-1.274889270033544797e+00,1.391985360946976780e+00,-1.253337479024731582e+00,4.014989086636222559e-01,3.558436405518666246e-01,1.482947241837506924e+00,1
-7.788093545583557598e-01,3.366343527519957690e-01,-5.474801078246605002e-01,5.753399924762268025e-01,-5.615624676393735637e-01,5.769023289333879978e-01,-6.927151396783262083e-01,3.935590950136128030e-01,-5.254772174298841803e-01,4.498098315940263769e-01,1
-4.795472009450683082e-01,5.454673965103991051e-01,-5.524783228428171711e-01,4.797152654737076860e-01,-5.589326135688496011e-01,3.278735425929225067e-01,-3.847676574978263764e-01,5.796683269612222800e-01,2.565398819056127211e-01,2.739080394894752302e-01,1
-3.564631334790014927e-01,5.487775837707097315e-01,-5.391160901981373321e-01,4.374576998278784101e-01,-5.285507702735472435e-01,2.027916506202127045e-01,-2.610622586823236890e-01,5.674410139370328343e-01,4.908346874607736887e-01,1.404773082277918916e-01,1
-6.680046830990635787e-01,4.272370278907013375e-01,-6.885057137132749583e-01,7.678040479523813300e-01,-6.732922073865422741e-01,5.618120202547247644e-01,-5.716417706132954635e-01,4.689873246861385181e-01,6.491000528028029182e-01,5.381803519022861915e-01,1
2.998023641489758195e-01,5.875712873079870502e-02,1.017060091852684950e-01,-1.836303885561396954e-01,1.124362114322126627e-01,-3.568653359733651720e-01,3.495686461522638511e-01,2.443874640898634036e-03,-1.267105616178283156e-01,-3.720736658401267438e-01,1
-9.228804028694771455e-01,8.461056810781393267e-01,-8.431989668436692398e-01,8.150887996332244478e-01,-8.664105155175215733e-01,6.934201482729063226e-01,-8.427408361258885705e-01,8.351715302007948205e-01,-5.363385660314742287e-01,5.105213425177931308e-01,1
